storm_id,timestamp,t_hours,lng,lat,wind_speed,pressure
2025_0001,2025-06-10T12:00:00Z,0,114.3,15.4,15,998
2025_0001,2025-06-10T18:00:00Z,6,114.2,15.7,15,998
2025_0001,2025-06-11T00:00:00Z,12,113.9,16.2,15,998
2025_0001,2025-06-11T06:00:00Z,18,112.4,16.7,15,998
2025_0001,2025-06-11T12:00:00Z,24,111.4,16.4,18,995
2025_0001,2025-06-11T18:00:00Z,30,110.9,16.6,20,990
2025_0001,2025-06-12T00:00:00Z,36,110.3,17.0,20,990
2025_0001,2025-06-12T06:00:00Z,42,109.9,17.2,20,990
2025_0001,2025-06-12T12:00:00Z,48,109.6,17.3,25,985
2025_0001,2025-06-12T15:00:00Z,51,109.3,17.5,25,985
2025_0001,2025-06-12T18:00:00Z,54,109.1,17.8,28,982
2025_0001,2025-06-12T21:00:00Z,57,108.8,18.1,28,982
2025_0001,2025-06-13T00:00:00Z,60,108.6,18.3,28,982
2025_0001,2025-06-13T03:00:00Z,63,108.5,18.4,30,980
2025_0001,2025-06-13T06:00:00Z,66,108.3,18.6,30,980
2025_0001,2025-06-13T09:00:00Z,69,108.3,18.7,33,975
2025_0001,2025-06-13T12:00:00Z,72,108.4,18.8,33,975
2025_0001,2025-06-13T15:00:00Z,75,108.7,19.1,30,980
2025_0001,2025-06-13T18:00:00Z,78,108.8,19.7,30,980
2025_0001,2025-06-13T21:00:00Z,81,108.9,20.0,30,980
2025_0001,2025-06-14T00:00:00Z,84,109.1,20.3,33,975
2025_0001,2025-06-14T03:00:00Z,87,109.5,20.7,33,975
2025_0001,2025-06-14T06:00:00Z,90,109.9,21.3,28,985
2025_0001,2025-06-14T09:00:00Z,93,110.2,21.7,23,988
2025_0001,2025-06-14T12:00:00Z,96,110.5,22.1,20,990
2025_0001,2025-06-14T15:00:00Z,99,110.7,22.5,18,992
2025_0001,2025-06-14T18:00:00Z,102,111.4,23.1,15,995
2025_0001,2025-06-14T21:00:00Z,105,111.8,23.9,15,995
2025_0001,2025-06-15T00:00:00Z,108,112.4,24.4,15,995
2025_0001,2025-06-15T03:00:00Z,111,113.1,25.0,15,995
2025_0001,2025-06-15T06:00:00Z,114,114.1,25.5,15,995
2025_0001,2025-06-15T09:00:00Z,117,115.2,26.1,15,995
2025_0001,2025-06-15T12:00:00Z,120,116.8,26.7,13,998
2025_0001,2025-06-15T15:00:00Z,123,118.5,27.3,10,1000
2025_0001,2025-06-15T18:00:00Z,126,120.4,28.2,10,1000
2025_0002,2025-06-21T06:00:00Z,0,147.3,21.0,13,1005
2025_0002,2025-06-21T12:00:00Z,6,146.8,21.5,13,1005
2025_0002,2025-06-21T18:00:00Z,12,146.4,21.8,13,1005
2025_0002,2025-06-22T00:00:00Z,18,146.2,22.5,13,1005
2025_0002,2025-06-22T06:00:00Z,24,146.4,22.8,13,1005
2025_0002,2025-06-22T12:00:00Z,30,146.0,23.2,15,1002
2025_0002,2025-06-22T18:00:00Z,36,145.3,23.9,15,1002
2025_0002,2025-06-23T00:00:00Z,42,144.7,24.6,18,1000
2025_0002,2025-06-23T06:00:00Z,48,144.0,25.8,18,1000
2025_0002,2025-06-23T12:00:00Z,54,143.0,27.0,18,1000
2025_0002,2025-06-23T18:00:00Z,60,141.9,28.4,18,1000
