storm_id,source_file,storm_name,timestamp,t_hours,lng,lat,wind_speed,pressure
2021-0001,CH2021BST.txt,DUJUAN,2021-02-16T12:00:00Z,0,136.3,6.7,13,1002
2021-0001,CH2021BST.txt,DUJUAN,2021-02-16T18:00:00Z,6,135.3,6.7,13,1002
2021-0001,CH2021BST.txt,DUJUAN,2021-02-17T00:00:00Z,12,134.2,6.5,13,1002
2021-0001,CH2021BST.txt,DUJUAN,2021-02-17T06:00:00Z,18,133.5,6.6,13,1002
2021-0001,CH2021BST.txt,DUJUAN,2021-02-17T12:00:00Z,24,133.1,6.6,15,1000
2021-0001,CH2021BST.txt,DUJUAN,2021-02-17T18:00:00Z,30,132.7,6.7,15,1000
2021-0001,CH2021BST.txt,DUJUAN,2021-02-18T00:00:00Z,36,132.6,7.0,18,998
2021-0001,CH2021BST.txt,DUJUAN,2021-02-18T06:00:00Z,42,132.1,7.3,18,998
2021-0001,CH2021BST.txt,DUJUAN,2021-02-18T12:00:00Z,48,131.8,7.2,20,995
2021-0001,CH2021BST.txt,DUJUAN,2021-02-18T18:00:00Z,54,131.5,7.1,20,995
2021-0001,CH2021BST.txt,DUJUAN,2021-02-19T00:00:00Z,60,131.2,7.0,20,995
2021-0001,CH2021BST.txt,DUJUAN,2021-02-19T06:00:00Z,66,130.6,6.8,20,995
2021-0001,CH2021BST.txt,DUJUAN,2021-02-19T12:00:00Z,72,130.3,6.5,23,990
2021-0001,CH2021BST.txt,DUJUAN,2021-02-19T18:00:00Z,78,130.9,6.1,23,990
2021-0001,CH2021BST.txt,DUJUAN,2021-02-20T00:00:00Z,84,131.4,6.4,20,995
2021-0001,CH2021BST.txt,DUJUAN,2021-02-20T06:00:00Z,90,131.2,7.0,20,995
2021-0001,CH2021BST.txt,DUJUAN,2021-02-20T12:00:00Z,96,130.3,7.7,18,998
2021-0001,CH2021BST.txt,DUJUAN,2021-02-20T18:00:00Z,102,129.9,8.2,18,998
2021-0001,CH2021BST.txt,DUJUAN,2021-02-21T00:00:00Z,108,129.6,8.7,18,998
